lat,long
42.98532,-78.80775
43.00040,-78.79878
42.98514,-78.80775
43.00032,-78.79878
42.98496,-78.80776
43.00027,-78.79878
42.98478,-78.80776
43.00022,-78.79878
42.98461,-78.80776
43.00019,-78.79878
42.98443,-78.80777
43.00016,-78.79878
42.98425,-78.80777
43.00015,-78.79878
42.98407,-78.80777
43.00011,-78.79877
42.98389,-78.80778
43.00005,-78.79876
42.98370,-78.80778
43.00000,-78.79876
42.98352,-78.80778
42.99997,-78.79875
42.98335,-78.80779
42.99994,-78.79854
42.98318,-78.80779
42.99993,-78.79840
42.98300,-78.80779
42.99993,-78.79826
42.98282,-78.80780
42.99994,-78.79808
42.98264,-78.80781
42.99994,-78.79790
42.98248,-78.80781
42.99994,-78.79773
42.98232,-78.80782
42.99994,-78.79756
42.98215,-78.80782
42.99994,-78.79742
42.98198,-78.80783
42.99994,-78.79731
42.98182,-78.80783
42.99994,-78.79722
42.98168,-78.80784
42.99992,-78.79721
42.98153,-78.80784
42.99992,-78.79716
42.98138,-78.80785
42.99976,-78.79705
42.98123,-78.80785
42.99968,-78.79706
42.98108,-78.80786
42.99958,-78.79706
42.98092,-78.80786
42.99948,-78.79706
42.98076,-78.80786
42.99937,-78.79706
42.98060,-78.80787
42.99925,-78.79706
42.98045,-78.80787
42.99912,-78.79707
42.98028,-78.80788
42.99897,-78.79707
42.98013,-78.80788
42.99882,-78.79707
42.97998,-78.80789
42.99867,-78.79708
42.97982,-78.80790
42.99851,-78.79708
42.97967,-78.80791
42.99834,-78.79706
42.97952,-78.80791
42.99817,-78.79703
42.97937,-78.80793
42.99799,-78.79698
42.97921,-78.80796
42.99783,-78.79692
42.97906,-78.80798
42.99766,-78.79687
42.97891,-78.80806
42.99749,-78.79675
42.97877,-78.80814
42.99733,-78.79664
42.97862,-78.80825
42.99717,-78.79652
42.97848,-78.80836
42.99699,-78.79641
42.97834,-78.80848
42.99683,-78.79625
42.97820,-78.80858
42.99668,-78.79607
42.97807,-78.80869
42.99654,-78.79588
42.97792,-78.80881
42.99645,-78.79564
42.97779,-78.80891
42.99633,-78.79544
42.97766,-78.80902
42.99623,-78.79522
42.97752,-78.80913
42.99613,-78.79499
42.97738,-78.80923
42.99605,-78.79475
42.97726,-78.80933
42.99597,-78.79451
42.97714,-78.80942
42.99590,-78.79427
42.97702,-78.80952
42.99583,-78.79401
42.97690,-78.80961
42.99577,-78.79375
42.97678,-78.80970
42.99572,-78.79348
42.97668,-78.80978
42.99567,-78.79322
42.97658,-78.80986
42.99563,-78.79297
42.97648,-78.80993
42.99560,-78.79270
42.97638,-78.81002
42.99557,-78.79243
42.97630,-78.81009
42.99555,-78.79216
42.97622,-78.81015
42.99553,-78.79190
42.97615,-78.81020
42.99552,-78.79164
42.97607,-78.81016
42.99552,-78.79138
42.97600,-78.81011
42.99553,-78.79112
42.97593,-78.81004
42.99553,-78.79089
42.97587,-78.80994
42.99553,-78.79065
42.97580,-78.80983
42.99557,-78.79041
42.97574,-78.80969
42.99559,-78.79017
42.97565,-78.80959
42.99559,-78.78993
42.97555,-78.80947
42.99562,-78.78969
42.97546,-78.80934
42.99565,-78.78944
42.97534,-78.80923
42.99567,-78.78919
42.97521,-78.80911
