time,longitude,latitude,altitude (ft)
2020/10/23 19:31:46+00,-78.805925,42.990915,181.972946
2020/10/23 19:31:47+00,-78.805941,42.99091,181.925217
2020/10/23 19:31:48+00,-78.805958,42.990905,181.875992
2020/10/23 19:31:49+00,-78.805975,42.990901,181.826202
2020/10/23 19:31:50+00,-78.805993,42.990898,181.776642
2020/10/23 19:31:51+00,-78.806011,42.990895,181.728027
2020/10/23 19:31:52+00,-78.80603,42.990892,181.681
2020/10/23 19:31:53+00,-78.806048,42.99089,181.636169
2020/10/23 19:31:54+00,-78.806067,42.990888,181.594116
2020/10/23 19:31:55+00,-78.806085,42.990887,181.555344
2020/10/23 19:31:56+00,-78.806104,42.990885,181.520264
2020/10/23 19:31:57+00,-78.806122,42.990884,181.489151
2020/10/23 19:31:58+00,-78.806141,42.990883,181.462082
2020/10/23 19:31:59+00,-78.806159,42.990882,181.439011
2020/10/23 19:32:00+00,-78.806177,42.990882,181.4198
2020/10/23 19:32:01+00,-78.806195,42.990881,181.404175
2020/10/23 19:32:02+00,-78.806213,42.990881,181.391785
2020/10/23 19:32:03+00,-78.806231,42.990881,181.382156
2020/10/23 19:32:04+00,-78.80625,42.990881,181.374741
2020/10/23 19:32:05+00,-78.806268,42.990881,181.369019
2020/10/23 19:32:06+00,-78.806286,42.990881,181.364456
2020/10/23 19:32:07+00,-78.806304,42.990882,181.36058
2020/10/23 19:32:08+00,-78.806322,42.990882,181.35701
2020/10/23 19:32:09+00,-78.80634,42.990883,181.353531
2020/10/23 19:32:10+00,-78.806358,42.990883,181.350082
2020/10/23 19:32:11+00,-78.806376,42.990884,181.34668
2020/10/23 19:32:12+00,-78.806394,42.990884,181.343246
2020/10/23 19:32:13+00,-78.806411,42.990884,181.339722
2020/10/23 19:32:14+00,-78.806428,42.990885,181.335968
2020/10/23 19:32:15+00,-78.806445,42.990885,181.331909
2020/10/23 19:32:16+00,-78.806462,42.990885,181.327469
2020/10/23 19:32:17+00,-78.806478,42.990885,181.322601
2020/10/23 19:32:18+00,-78.806494,42.990885,181.317215
2020/10/23 19:32:19+00,-78.806511,42.990886,181.311279
2020/10/23 19:32:20+00,-78.806527,42.990886,181.304718
2020/10/23 19:32:21+00,-78.806543,42.990887,181.297455
2020/10/23 19:32:22+00,-78.80656,42.990888,181.289459
2020/10/23 19:32:23+00,-78.806576,42.990889,181.280716
2020/10/23 19:32:24+00,-78.806593,42.99089,181.271332
2020/10/23 19:32:25+00,-78.80661,42.990892,181.26149
2020/10/23 19:32:26+00,-78.806627,42.990894,181.251526
2020/10/23 19:32:27+00,-78.806644,42.990896,181.241882
2020/10/23 19:32:28+00,-78.806662,42.990898,181.233017
2020/10/23 19:32:29+00,-78.806679,42.990901,181.225296
2020/10/23 19:32:30+00,-78.806696,42.990904,181.218918
2020/10/23 19:32:31+00,-78.806714,42.990906,181.213943
2020/10/23 19:32:32+00,-78.806731,42.990909,181.210281
2020/10/23 19:32:33+00,-78.806748,42.990912,181.207718
2020/10/23 19:32:34+00,-78.806766,42.990914,181.205978
2020/10/23 19:32:35+00,-78.806783,42.990917,181.204788
2020/10/23 19:32:36+00,-78.806801,42.990919,181.203918
2020/10/23 19:32:37+00,-78.806818,42.990921,181.203232
2020/10/23 19:32:38+00,-78.806836,42.990923,181.202652
2020/10/23 19:32:39+00,-78.806854,42.990924,181.202209
2020/10/23 19:32:40+00,-78.806871,42.990926,181.201859
2020/10/23 19:32:41+00,-78.806889,42.990927,181.201523
2020/10/23 19:32:42+00,-78.806907,42.990928,181.201157
2020/10/23 19:32:43+00,-78.806925,42.990928,181.200714
2020/10/23 19:32:44+00,-78.806943,42.990929,181.200241
2020/10/23 19:32:45+00,-78.806961,42.990929,181.199768
2020/10/23 19:32:46+00,-78.806979,42.990929,181.199371
2020/10/23 19:32:47+00,-78.806997,42.990929,181.199051
2020/10/23 19:32:49+00,-78.807015,42.990929,181.198776
2020/10/23 19:32:50+00,-78.807033,42.990929,181.19841
2020/10/23 19:32:51+00,-78.807052,42.990929,181.197845
2020/10/23 19:32:52+00,-78.80707,42.990929,181.197037
2020/10/23 19:32:53+00,-78.807088,42.990929,181.19606
2020/10/23 19:32:54+00,-78.807106,42.990929,181.195068
2020/10/23 19:32:55+00,-78.807124,42.990929,181.194138
2020/10/23 19:32:56+00,-78.807143,42.990929,181.193268
2020/10/23 19:32:57+00,-78.807161,42.99093,181.192398
2020/10/23 19:32:58+00,-78.807179,42.99093,181.191513
2020/10/23 19:32:59+00,-78.807197,42.990931,181.190567
2020/10/23 19:33:00+00,-78.807215,42.990931,181.18959
2020/10/23 19:33:01+00,-78.807233,42.990931,181.188583
2020/10/23 19:33:02+00,-78.807251,42.990932,181.187515
2020/10/23 19:33:03+00,-78.807268,42.990932,181.186401
2020/10/23 19:33:04+00,-78.807286,42.990932,181.185257
2020/10/23 19:33:05+00,-78.807303,42.990932,181.184158
2020/10/23 19:33:06+00,-78.807321,42.990932,181.183212
2020/10/23 19:33:07+00,-78.807338,42.990932,181.182587
2020/10/23 19:33:08+00,-78.807355,42.990932,181.182465
2020/10/23 19:33:09+00,-78.807372,42.990932,181.182968
2020/10/23 19:33:10+00,-78.807389,42.990931,181.184265
2020/10/23 19:33:11+00,-78.807407,42.990932,181.186584
2020/10/23 19:33:12+00,-78.807424,42.990932,181.190353
2020/10/23 19:33:13+00,-78.807441,42.990932,181.19603
2020/10/23 19:33:14+00,-78.807458,42.990933,181.204025
2020/10/23 19:33:15+00,-78.807474,42.990934,181.214554
2020/10/23 19:33:16+00,-78.807491,42.990935,181.227661
2020/10/23 19:33:17+00,-78.807508,42.990936,181.24321
2020/10/23 19:33:18+00,-78.807525,42.990937,181.260925
2020/10/23 19:33:19+00,-78.807542,42.990939,181.280457
2020/10/23 19:33:20+00,-78.80756,42.990941,181.301529
2020/10/23 19:33:21+00,-78.807577,42.990943,181.323868
2020/10/23 19:33:22+00,-78.807595,42.990945,181.347336
2020/10/23 19:33:23+00,-78.807614,42.990947,181.371765
2020/10/23 19:33:24+00,-78.807632,42.990949,181.396896
2020/10/23 19:33:25+00,-78.807651,42.990951,181.422394
2020/10/23 19:33:26+00,-78.807669,42.990953,181.447922
2020/10/23 19:33:27+00,-78.807688,42.990955,181.473053
2020/10/23 19:33:28+00,-78.807707,42.990957,181.497345
2020/10/23 19:33:29+00,-78.807725,42.990958,181.520386
2020/10/23 19:33:30+00,-78.807744,42.99096,181.541733
2020/10/23 19:33:31+00,-78.807763,42.99096,181.561005
2020/10/23 19:33:32+00,-78.807781,42.990961,181.577911
2020/10/23 19:33:33+00,-78.807799,42.990961,181.592316
2020/10/23 19:33:34+00,-78.807817,42.990961,181.604202
2020/10/23 19:33:35+00,-78.807835,42.990961,181.613724
2020/10/23 19:33:36+00,-78.807853,42.990961,181.621185
2020/10/23 19:33:37+00,-78.80787,42.990961,181.626999
2020/10/23 19:33:38+00,-78.807887,42.99096,181.631638
2020/10/23 19:33:39+00,-78.807903,42.99096,181.635681
2020/10/23 19:33:40+00,-78.807918,42.99096,181.639648
2020/10/23 19:33:41+00,-78.807933,42.99096,181.644135
2020/10/23 19:33:42+00,-78.807948,42.990961,181.649612
2020/10/23 19:33:43+00,-78.807961,42.990962,181.65657
2020/10/23 19:33:44+00,-78.807975,42.990963,181.66539
2020/10/23 19:33:45+00,-78.807987,42.990965,181.676376
2020/10/23 19:33:46+00,-78.807999,42.990967,181.689697
2020/10/23 19:33:47+00,-78.80801,42.990969,181.705322
2020/10/23 19:33:48+00,-78.80802,42.990976,181.660156
2020/10/23 19:33:49+00,-78.808023,42.990986,181.682541
2020/10/23 19:33:50+00,-78.808026,42.990996,181.70755
2020/10/23 19:33:51+00,-78.808027,42.991006,181.735458
2020/10/23 19:33:52+00,-78.808028,42.991017,181.766327
2020/10/23 19:33:53+00,-78.808028,42.991028,181.799927
2020/10/23 19:33:54+00,-78.808028,42.991039,181.835724
2020/10/23 19:33:55+00,-78.808026,42.99105,181.872971
